,Mutation_Phenotype_MSI-H_P_values
ADGRG6,0.00026951312151839786
AIF1L,0.00010936484322645012
APOL1,3.4993618412471915e-05
APOL2,2.755649593107408e-06
CPOX,0.00010936484322645012
EIF2D,0.00026951312151839786
EXO1,2.755649593107408e-06
HPSE,3.4993618412471915e-05
MAPK12,2.755649593107408e-06
NDUFA4L2,0.00026951312151839786
PIK3AP1,1.0149155867471437e-05
PMF1,3.4993618412471915e-05
QSOX1,1.0149155867471437e-05
RNF19B,1.0023675394928195e-05
S100A16,1.0023675394928195e-05
SSFA2,3.4993618412471915e-05
USF1,0.00026951312151839786
WARS,0.00010936484322645012
WDR25,0.00010936484322645012
